request_id,user_id,timestamp,device_id,location_lat,location_long,request_type,typing_speed,interaction_rhythm
535ac01f-1d46-4108-995b-98761d896fb8,USER_001,2026-05-01 11:40:23,DEV_209,-1.286389,36.817223,LOGIN,156.11,0.56
94f9e511-f25b-4085-98af-2c8112312d02,USER_001,2026-05-01 11:45:23,DEV_165,-4.043477,39.668206,SIM_REPLACEMENT,262.78,0.92
10881035-8140-4af2-931f-959be9867559,USER_006,2026-04-30 15:45:23,DEV_938,2.754259,38.8848,SIM_REPLACEMENT,195.05,0.76
72464a0d-5afa-4839-a8ae-c01da0a491cc,USER_009,2026-05-01 06:27:23,DEV_610,2.706739,37.716961,SIM_REPLACEMENT,247.09,0.87
819021c5-80d9-47b7-b20d-c8a8213fb83c,USER_008,2026-04-30 17:36:23,DEV_415,1.095081,36.219827,LOGIN,285.81,1.05
1c66ea50-3bcc-4b4a-8279-86d246f26432,USER_005,2026-05-01 05:31:23,DEV_592,-0.144407,35.165695,LOGIN,244.88,0.62
e1842613-42e3-43d2-a6d4-1d63cda9913f,USER_006,2026-05-01 05:28:23,DEV_453,-0.4964,39.905048,SIM_REPLACEMENT,178.53,0.97
c6432bb4-dfd8-4416-b4e0-a1c78832e653,USER_003,2026-04-30 23:41:23,DEV_329,-2.863981,37.481084,LOGIN,153.77,1.21
14273c81-ad54-449c-984e-204bedefc7cc,USER_009,2026-04-30 21:53:23,DEV_616,0.356005,35.109588,LOGIN,227.77,0.83
2aa3297b-8619-4cf0-8118-501e8e696d13,USER_008,2026-04-30 23:58:23,DEV_268,-2.333358,37.196665,SIM_REPLACEMENT,161.74,1.4
4e601dad-b3a3-4575-8964-9424d25dbeeb,USER_004,2026-04-30 16:26:23,DEV_446,-2.427239,35.976123,LOGIN,228.4,0.84
28265f20-bf27-4a04-a239-374378f6afae,USER_001,2026-05-01 01:42:23,DEV_504,-3.237558,36.263257,LOGIN,159.1,0.76
afa37f21-e787-4ea0-9a96-bc226074973e,USER_004,2026-04-30 12:40:23,DEV_357,0.944681,36.945147,LOGIN,243.29,0.82
07dcd9fb-6fd9-4f99-82c0-914a70c717cb,USER_009,2026-04-30 22:24:23,DEV_349,3.354793,34.125253,SIM_REPLACEMENT,187.56,1.42
a25334b1-650b-4b9c-8214-4b729fc99dca,USER_008,2026-05-01 03:53:23,DEV_183,-3.451759,39.577762,LOGIN,262.5,0.55
77c12b60-cdc6-475a-a797-24cc190f1ead,USER_006,2026-04-30 21:34:23,DEV_150,-0.883484,37.047133,LOGIN,220.41,1.02
c066b9f9-004a-4d8b-97b8-c4306ff67368,USER_001,2026-04-30 15:22:23,DEV_389,3.464275,39.536797,SIM_REPLACEMENT,247.91,1.34
5792caa9-9cf3-4c78-ade8-8a73ce8234bd,USER_002,2026-04-30 18:32:23,DEV_887,3.080376,37.090497,SIM_REPLACEMENT,175.88,0.53
e0ad7f0a-be09-4194-b622-35ede039d3dd,USER_006,2026-05-01 03:32:23,DEV_454,-2.537167,36.638706,LOGIN,251.0,0.99
bc37643f-d3ca-4fe9-8b8b-c69774bcc710,USER_003,2026-05-01 04:09:23,DEV_308,1.862935,37.445809,SIM_REPLACEMENT,150.31,0.88
c9b877e1-f169-405a-a94a-276a31cc2dfd,USER_008,2026-04-30 19:51:23,DEV_862,-3.535576,36.013436,SIM_REPLACEMENT,203.59,0.75
3a175cbb-1fa5-4dca-9488-a9bb01685b76,USER_010,2026-05-01 00:15:23,DEV_795,-2.984996,38.885784,LOGIN,291.93,0.67
647d10ec-da3d-4648-bd6f-dffe1f95eac3,USER_009,2026-04-30 13:56:23,DEV_974,-3.526762,34.200256,SIM_REPLACEMENT,280.16,0.58
f0b05fd0-6ecf-44da-9adb-0a05d207387d,USER_002,2026-04-30 15:17:23,DEV_513,0.407077,37.33433,LOGIN,151.99,1.27
403631c8-ed36-45be-be95-9313088690d5,USER_002,2026-04-30 23:30:23,DEV_696,-1.422608,38.977074,LOGIN,181.4,1.44
502a9575-2a50-47f5-8734-c1e0c390accc,USER_002,2026-05-01 08:03:23,DEV_425,3.090242,37.81181,SIM_REPLACEMENT,277.11,1.38
4b9aff79-5825-444c-ad02-fb7002db792d,USER_006,2026-05-01 04:12:23,DEV_344,2.576329,40.521012,SIM_REPLACEMENT,247.13,0.58
1fe090f4-f170-49eb-91e4-a4b23e9be928,USER_005,2026-04-30 23:21:23,DEV_388,2.622329,37.37194,SIM_REPLACEMENT,298.38,1.22
3677d550-11a8-47f9-8d3a-68e40a01569f,USER_008,2026-04-30 18:56:23,DEV_824,-2.743024,38.4361,LOGIN,173.45,1.05
bc33bc5c-ea6c-47b5-a3f4-de0f4c54e5b9,USER_006,2026-04-30 16:48:23,DEV_499,2.895279,36.421345,SIM_REPLACEMENT,158.11,1.19
e6732022-5d27-4f71-bb36-018a44f39d43,USER_008,2026-04-30 14:37:23,DEV_406,1.994077,38.533244,LOGIN,229.99,1.37
5a3d7952-44c5-4bfb-b38d-d146f5f98481,USER_002,2026-05-01 03:12:23,DEV_907,-1.758393,36.651152,LOGIN,193.28,0.6
d0e4e728-7e87-4c75-9a10-79a28ce6a9a6,USER_004,2026-04-30 12:58:23,DEV_408,-1.796628,37.063791,LOGIN,267.57,0.6
f98de55b-8d3e-4442-8c4f-cecce41f69f8,USER_008,2026-05-01 10:33:23,DEV_440,-2.442685,38.156382,SIM_REPLACEMENT,287.36,1.47
226a7871-4933-4496-9b10-322302a67a44,USER_006,2026-04-30 18:05:23,DEV_742,-0.623216,35.319644,LOGIN,297.9,1.25
7b9dfd27-8991-4c9c-b089-d27f3e21d95a,USER_006,2026-04-30 21:35:23,DEV_686,-1.707163,34.313753,SIM_REPLACEMENT,266.87,0.71
619b3ad1-a7cd-4e9f-8b83-f93670cb664e,USER_003,2026-04-30 23:14:23,DEV_711,-1.00552,37.173829,SIM_REPLACEMENT,294.01,0.55
c6eac206-ce7e-453d-9643-4c4e9b80586e,USER_002,2026-04-30 18:56:23,DEV_763,1.202736,39.742417,LOGIN,293.91,0.63
44dda60e-fe24-4548-a037-b2e988d72ff5,USER_001,2026-04-30 16:05:23,DEV_278,3.079044,36.212351,LOGIN,210.26,0.59
